WARD,DIVISION,TYPE,OFFICE,CANDIDATE,PARTY,VOTES
1,1,A,ATTORNEY GENERAL,Write In,,0
1,1,A,ATTORNEY GENERAL,JIM   EISENHOWER,DEMOCRATIC,9
1,1,A,ATTORNEY GENERAL,MARAKAY J ROGERS,GREEN,0
1,1,A,ATTORNEY GENERAL,TOM   CORBETT,REPUBLICAN,0
1,1,A,AUDITOR GENERAL,Write In,,0
1,1,A,AUDITOR GENERAL,BEN G PRICE,GREEN,0
1,1,A,AUDITOR GENERAL,BERLIE R ETZEL JR,LIBERTARIAN,0
1,1,A,AUDITOR GENERAL,JACK   WAGNER,DEMOCRATIC,8
1,1,A,AUDITOR GENERAL,JOE   PETERS,REPUBLICAN,0
1,1,A,AUDITOR GENERAL,LEONARD E RITCHEY,CONSTITUTION,0
1,1,A,No Vote,No Vote,,0
1,1,A,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,Write In,,0
1,1,A,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,DAVID K COBB,GREEN,0
1,1,A,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,GEORGE W BUSH,REPUBLICAN,0
1,1,A,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,JOHN F KERRY,DEMOCRATIC,12
1,1,A,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,MICHAEL   BADNARIK,LIBERTARIAN,0
1,1,A,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,MICHAEL ANTHONY PEROUTKA,CONSTITUTION,0
1,1,A,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,RALPH   NADER,INDEPENDENT,0
1,1,A,QUESTION,NO,,0
1,1,A,QUESTION,YES,,3
1,1,A,REPRESENTATIVE IN CONGRESS  1ST DISTRICT,Write In,,0
1,1,A,REPRESENTATIVE IN CONGRESS  1ST DISTRICT,CHRISTOPHER   RANDOLPH,RANDOLPH FOR CONGRESS,0
1,1,A,REPRESENTATIVE IN CONGRESS  1ST DISTRICT,DEBORAH L WILLIAMS,REPUBLICAN,0
1,1,A,REPRESENTATIVE IN CONGRESS  1ST DISTRICT,ROBERT A BRADY,DEMOCRATIC,10
1,1,A,REPRESENTATIVE IN THE GENERAL ASSEMBLY 184TH DISTRICT,Write In,,0
1,1,A,REPRESENTATIVE IN THE GENERAL ASSEMBLY 184TH DISTRICT,MARK R COLANGELO,REPUBLICAN,0
1,1,A,REPRESENTATIVE IN THE GENERAL ASSEMBLY 184TH DISTRICT,WILLIAM F KELLER,DEMOCRATIC,6
1,1,A,SENATOR IN THE GENERAL ASSEMBLY 1ST DISTRICT,Write In,,0
1,1,A,SENATOR IN THE GENERAL ASSEMBLY 1ST DISTRICT,JOHN H MORLEY JR,REPUBLICAN,1
1,1,A,SENATOR IN THE GENERAL ASSEMBLY 1ST DISTRICT,VINCENT J FUMO,DEMOCRATIC,8
1,1,A,STATE TREASURER,Write In,,0
1,1,A,STATE TREASURER,BOB   CASEY JR,DEMOCRATIC,9
1,1,A,STATE TREASURER,DARRYL W PERRY,LIBERTARIAN,0
